location,built_area_sqft,bhk,bathrooms,lift,air_conditioner,parking,gym,security,water_supply,rent
Nalgonda,3255.740861577716,1,2,1,1,1,1,1,1,97029.66596296686
Agartala,1540.342037443096,4,1,0,1,1,1,0,1,88457.05657279986
Sehore,3485.8453251955107,4,3,0,0,1,0,0,1,224287.63680440845
Parvathipuram,3662.1157171567593,3,3,0,0,1,0,0,0,138920.74875826627
Ambattur,1396.8561545601121,2,1,0,1,0,1,0,1,99310.75578986955
Port Blair,3940.6773017747996,1,3,0,1,0,1,1,0,197928.6951375262
Korba,906.5615009755303,2,1,0,1,1,1,1,1,49430.77321993862
Kozhikode,1127.256406248964,1,2,1,1,1,0,0,0,43170.222958019716
Vijayawada,1063.209421256894,3,2,1,1,1,1,0,0,98970.96481393737
Saharsa,3618.3629560283334,1,3,1,0,1,0,1,1,196175.2625968629
MVP Colony,2755.453188369863,1,2,0,1,1,0,0,1,143792.05707344075
Namakkal,947.5754196001824,3,3,1,1,0,1,1,0,76720.8447300994
Patan,1985.1643061260563,2,3,0,1,1,1,0,1,91588.32737521965
Rajkot,2615.0728902512874,3,2,1,0,1,0,1,0,184130.63962499457
Maharanipeta,700.4707059617799,1,2,0,0,0,1,0,0,55930.4715644416
Bheemunipatnam,3576.698926266419,3,3,1,1,0,1,0,0,103851.97294150015
Srinagar,3292.9727275895266,1,2,0,1,0,0,0,1,293790.076445109
Bhimavaram,2218.7443848758976,3,1,1,0,0,1,1,0,157817.08369822547
Unnao,3881.6558149330135,4,2,0,0,0,0,1,0,134000.2635189619
Vadodara,1903.939525390359,4,2,1,0,0,1,0,0,159686.94441469168
Malda,3942.797148531392,3,1,0,0,0,0,0,0,147911.14000554907
Amudalavalasa,2804.5119956930575,2,2,1,1,0,0,0,1,96199.49977564559
Champawat,2684.816583714189,1,2,1,0,0,1,0,1,90220.72378860117
Rajkot,997.437623064826,4,3,1,1,1,0,1,1,71680.401183534
Kota,3574.9399298967182,2,2,0,1,0,0,1,1,304440.9276752744
Yamunanagar,1938.9628765142145,1,2,0,0,1,1,1,0,85831.43989907588
Sahibganj,984.0402608169256,4,1,0,0,1,1,0,0,98888.41999030582
Tadepalligudem,445.38707191273255,4,3,0,0,1,1,0,0,45378.86324334969
Buxar,2415.120461098177,3,3,0,0,1,0,1,0,80402.67993574843
Jhansi,2298.6386396416347,1,3,1,1,1,0,0,0,61900.51504789144
Bikaner,2989.673040528971,2,2,0,1,1,0,1,0,174681.56131837727
Ichchapuram,3604.9289908640876,2,3,1,1,1,1,1,1,216446.44325967794
Duvvada,685.8637047149062,2,1,1,0,1,0,1,0,45454.99902599344
Dantewada,3033.3873652253046,1,3,0,1,0,0,1,0,142313.49965688583
Gorakhpur,1074.682998751296,2,1,1,0,1,1,0,0,92912.33265402996
Pendurthi,3489.4373913657905,2,3,0,1,1,0,1,1,190442.37571541165
Bhubaneswar,3348.628649901962,2,3,0,0,1,1,0,0,72783.83206700243
Anakapalle,2346.85751794796,3,1,0,1,1,1,1,0,138374.4762383377
Bikaner,2956.8740750439215,3,3,1,1,0,1,1,0,153769.34933829115
Parvathipuram,1531.6604074614943,1,3,0,0,1,0,1,1,46693.00669227949
Jorhat,2096.204436158133,1,3,0,1,0,0,1,0,72223.05554003958
Hamirpur,3357.892831757698,2,2,0,1,0,0,0,0,146667.91675075752
Pendurthi,2053.3547098235704,3,1,1,0,1,1,0,1,96347.51729147288
Yavatmal,1688.0737551715904,4,3,0,0,1,1,0,0,105726.58606481398
Ambattur,2179.1648101010796,4,1,1,0,0,1,0,1,85132.48606804694
Kurmannapalem,3381.697308773986,2,1,1,0,1,0,1,0,181019.96745661192
Amritsar,1606.7489705351418,2,1,0,0,1,0,0,1,121890.33278921623
Dehradun,1025.5417352886775,3,3,1,1,0,0,0,0,90960.92923867161
Kothavalasa,2963.2504731908107,3,3,1,0,0,0,1,0,104708.18145897913
Bheemunipatnam,3373.5215657490944,3,1,0,1,1,0,0,1,123505.16374748068
Aganampudi,762.29492268472,1,2,0,1,1,1,0,0,31301.409411477758
Hazaribagh,1263.5468059214008,1,1,0,0,1,0,0,0,31858.039023620382
Bhadrak,911.099163139578,2,2,1,1,0,1,0,1,62423.43769877798
Diu,1652.5890816958,1,1,0,1,1,1,1,0,100504.9059450519
Kolar,2021.2635240594855,3,1,1,0,0,0,1,1,124760.57621682894
Jabalpur,3095.7748130679033,3,1,1,1,0,1,0,0,179524.38059140317
Gondia,2744.131305574027,1,3,1,0,1,0,1,1,90175.80017306181
Bokaro,2635.3428429223522,4,2,1,0,0,0,0,0,96837.03868422259
Sagar Nagar,1668.549807794756,2,2,1,0,1,1,0,0,104412.29744483702
Pondicherry,3429.2111911051356,4,1,0,1,1,0,0,1,168443.35613800187
Proddatur,2096.6338026333924,2,3,0,1,0,0,1,0,77739.34684637687
Karnal,3924.777776854556,4,3,1,1,1,1,1,1,192450.93220909155
Kochi,2682.9116978646525,1,2,1,1,0,1,1,1,93716.49599158643
Amudalavalasa,854.5530696322098,2,3,0,0,0,1,1,1,31808.311021914484
Chandigarh,2834.2392234715626,2,2,0,1,1,1,1,0,269178.4506056277
Aligarh,1570.3744555541164,2,2,1,0,1,1,1,0,113302.62698597855
Simhachalam,2870.7779080699506,3,2,1,1,1,1,0,0,114363.92557794496
Tonk,650.7081333846606,3,3,0,1,1,0,1,1,40215.809807383856
Jalandhar,1029.573173833454,4,2,0,1,0,0,0,1,89252.41302555846
Baddi,3480.6541320608308,1,2,1,1,0,0,0,1,153169.3986909415
Visakhapatnam,1217.8464052846537,3,1,0,1,0,1,1,0,92109.24948685581
Jagadamba Junction,3413.3480508745843,2,2,0,0,1,0,0,1,102596.05426630606
Vellore,1405.3939184358776,3,2,1,1,0,1,0,0,79404.11998343075
Visakhapatnam,2714.3748762113473,1,1,1,1,0,0,0,0,227849.14465669266
Katni,2898.9420646353915,3,1,1,1,1,1,1,0,148339.59991806632
Erode,2245.5571113221904,2,3,0,1,1,0,1,0,81106.41716206196
Ranipet,1499.1184361082326,4,2,1,0,1,1,0,0,90984.9037665222
Karimnagar,1165.519754935946,2,3,0,1,0,1,1,0,50995.88294855652
Solapur,519.4816764247344,1,3,1,0,1,1,0,0,22209.06135670591
Bhatinda,1494.2070444666058,4,1,1,1,0,1,1,0,149681.52710996062
Suryabagh,2751.386045912619,3,3,0,0,0,0,0,1,157722.34317662744
Tuni,3777.8973464145374,3,2,0,0,0,0,0,0,142331.8763778618
Kottayam,3536.3361361469874,3,1,1,0,0,1,1,0,209535.41472623034
Patan,3157.833195527089,4,2,1,0,0,1,1,1,230467.86030156427
Kasganj,3238.4104357118754,2,2,0,0,1,1,1,1,169875.09747483535
Daman,2793.945652513583,4,1,1,1,0,0,1,1,104046.26339443907
Bhiwandi,1337.0326872376108,4,2,0,0,1,1,1,1,61635.33924536219
Jammu,3665.9021105409875,1,1,0,1,0,1,0,0,217316.19980032745
Ambattur,2814.6363228610026,4,2,1,0,0,0,0,1,120528.85384798083
Bhadrak,2417.586271529584,3,1,0,0,1,1,0,1,181542.5435886104
Baripada,799.5620891685319,2,3,0,1,0,1,1,1,49626.599398733444
Navsari,2009.3999577031316,2,2,0,0,0,0,1,1,131501.95138179703
Jhalawar,2057.2897763269348,2,1,1,0,1,1,0,0,72882.4350348956
Jamnagar,3512.4289942816117,3,2,0,0,1,1,0,1,149635.71551370327
Sagar Nagar,2367.9335926760386,3,2,1,0,0,0,0,1,105525.93951991899
Kavali,1769.4419762934747,3,2,1,1,0,1,0,1,159373.97348256517
Chennai,3916.4811826383734,3,1,1,0,0,0,1,1,164267.95974823934
Poorna Market,798.5941359747364,3,3,0,0,1,1,0,0,55179.00681824037
Bhatinda,1921.1743419230006,4,3,0,1,0,1,1,1,160556.96843649176
Rajam,551.288830617059,3,3,1,1,1,1,0,1,44909.59377057572
HB Colony,3063.654834760949,3,1,1,0,1,1,1,1,149646.7672808535
Nellore,3705.0755879169424,3,3,0,0,0,1,1,0,227915.537724772
Udaipur,1408.134386381762,3,1,1,1,1,0,1,1,80165.81071323455
Bhatinda,3490.030036476835,2,2,1,0,0,1,1,1,218871.58829159377
Margao,1451.985629662832,3,2,0,1,0,1,0,0,62644.76769989928
Durgapur,3678.7725819180946,4,3,1,0,1,0,0,1,235109.98411698613
Daman,3114.2628529484223,4,1,0,1,1,0,0,0,217613.42072803964
Bikaner,3297.664396629179,4,2,0,1,1,1,1,0,190388.42872817945
Paschim Medinipur,464.8236001616362,1,1,1,1,1,0,0,1,26936.66149525784
Srinagar,3866.1172854664933,2,1,0,0,1,1,0,1,279312.2212326847
Waltair Uplands,3016.015571453164,3,2,0,0,1,0,0,0,96614.19967677993
Chipurupalle,1497.1039433900798,1,1,0,0,0,0,1,0,30491.325018385593
Thoothukudi,3385.820793491849,3,2,1,0,0,1,1,1,226640.48257841056
Hamirpur,1413.4763142937477,1,2,1,1,0,0,1,0,51214.409321591535
Malappuram,3541.913822438061,1,2,1,1,1,1,0,0,104935.18440582184
Unnao,805.2894054829733,4,1,0,1,1,0,0,1,69083.9733476731
Rajkot,2933.2695188588646,4,2,0,0,1,0,0,0,105333.9512812109
Bhiwandi,2346.5145159216772,1,1,1,0,0,0,1,0,70741.96393523636
Guntur,747.5240927035869,4,2,1,0,0,1,0,0,59776.31931402084
Mangalore,1270.8177817318203,1,2,0,1,1,1,1,0,61880.41393343106
Baripada,444.6545305983332,2,3,1,0,1,0,1,0,33503.06543167417
Unnao,2087.564675672221,4,3,1,0,1,1,1,0,136570.25059012402
Muzaffarpur,1484.5549387360013,4,3,1,1,1,1,1,1,92974.90469570729
Jhansi,2554.0869434719316,4,1,1,1,0,1,0,0,95695.94900787377
Hosur,1470.056107751022,2,1,1,0,0,0,0,1,45962.78555822332
Kadapa,1479.7088014251449,1,2,0,1,0,1,1,1,93712.5296544718
Kanpur,3075.495515433772,3,2,1,0,1,0,0,1,223016.71404435067
Mancherial,573.3142095220724,4,2,1,1,0,0,1,1,47629.78861997444
Hamirpur,3650.421982691154,1,2,0,1,1,0,0,1,121358.2706436983
Nalgonda,3468.1499478082533,2,1,0,1,1,0,0,1,100340.0312149768
Sambalpur,2804.0968596150633,3,2,0,0,1,0,1,1,151393.25927798316
Kolar,2535.5976523865834,4,2,0,0,0,1,1,1,153901.7358873116
Baddi,3612.288993302748,2,3,1,0,0,1,1,0,259601.4557472612
Churu,1067.188646303372,2,2,1,1,1,0,1,1,93790.71345673366
Rajgarh,684.288983886983,3,2,1,1,0,1,0,1,66014.29648308453
Wardha,1262.2366116743372,1,2,1,1,1,1,1,1,49460.84561161204
Sehore,3260.481803320685,4,1,0,1,1,1,0,0,141623.8437015346
Srinagar,524.8129602153399,4,3,0,0,1,1,1,1,69323.6155544465
Bhopal,2498.104606300563,1,2,1,0,0,1,0,0,114495.0760881675
Siliguri,3983.575058288716,1,2,1,0,0,1,1,1,131760.7821103073
Simhachalam,3480.505937815142,1,3,1,1,1,1,0,1,193361.34013486543
Nawada,2277.204480556922,3,2,1,1,0,0,0,0,117945.51300268937
Bangalore,629.1072734319124,3,1,0,0,0,0,0,1,34195.86087205305
Betul,3392.9446517885553,4,2,1,1,0,0,1,0,164864.58329959956
Tenali,2556.322629437958,3,1,0,0,0,1,1,0,186773.94665005643
Proddatur,813.7587894144406,2,1,0,1,1,1,1,1,48621.69763350959
Sambhal,737.8862253640823,4,2,0,1,0,0,1,1,71397.11169260005
Bobbili,3674.6565499717326,3,3,0,0,1,1,0,0,205842.94485208258
Nalgonda,2809.1209465770826,1,1,1,0,1,1,0,0,116901.02980250654
Ramanathapuram,3385.4324775403197,2,3,1,1,0,0,0,1,198047.8203182382
Asansol,3564.3240410161625,1,2,1,0,1,0,1,1,286433.06067134975
Hubli,2458.38046737396,4,1,1,0,1,0,0,1,102293.94958673583
Mandya,2262.8068663181484,1,2,0,1,0,1,0,0,120194.59587172775
Sikar,1949.5386771555648,3,3,0,1,1,1,1,1,72536.42526429909
Vapi,1541.0077160480294,3,2,0,1,1,1,1,0,118037.90699712739
Bhatinda,1964.5454590913623,4,2,1,0,0,0,0,1,161165.71881277394
Sagar,3185.966760628563,1,1,0,1,0,0,1,0,124186.55115088329
Gajapathinagaram,2566.924351654474,4,2,0,1,0,1,1,0,82603.67167735579
Ranchi,3613.083843837446,1,2,0,1,0,0,1,1,149118.928970604
Madhurawada,1996.168051765076,2,2,0,1,0,0,1,0,91544.70767950255
Dondaparthy,2585.5224833875145,3,1,1,1,1,1,0,0,90643.51175594491
Karaikudi,2672.7071911311596,4,3,0,0,1,0,0,0,154159.25062565
Palakkad,2530.109784302772,2,3,0,1,0,0,0,0,143806.64280649318
Warangal,2929.481583107859,2,2,1,1,0,0,0,0,110827.34979677021
Srikakulam,1254.7604861493026,4,1,1,0,1,1,0,1,90936.73404396269
Durgapur,2244.5095991648463,4,2,1,1,0,1,1,1,165585.53305229248
Jhansi,775.2092901100516,2,3,0,1,0,0,0,0,54625.375722281635
Port Blair,1784.2407795213253,1,1,0,0,1,1,0,1,132427.10679902573
Baramulla,2155.6014470365517,2,3,0,1,1,1,1,0,88375.99725099209
Tenali,2748.007334363701,4,3,0,0,1,1,1,0,134187.78960810349
Tonk,3821.9117893103326,2,1,1,1,0,0,1,1,127346.20017750641
Champawat,2562.3438395740814,1,1,0,0,1,1,0,0,160144.65530362967
Port Blair,3076.938098235615,3,2,0,0,0,0,1,0,249870.41366307475
Mysore,2222.55781418273,3,2,1,1,1,0,1,0,127079.88966225334
Zirakpur,2682.7745129547925,2,3,1,0,0,1,1,1,246458.3868962118
Agartala,655.3559780815843,1,1,1,0,0,0,0,1,33660.39099866151
Navsari,1315.809691030649,3,1,0,1,0,1,1,0,71778.21390568
Pali,1702.6711355384994,2,2,0,1,1,1,1,0,94302.49050149915
Khandwa,2100.976078023449,2,3,0,0,1,0,0,0,66755.39712811742
Satara,564.3354838085814,1,3,0,1,1,0,1,0,27362.70757573418
Mysore,904.0867511919437,4,2,0,0,0,1,0,0,67038.0618638636
Kochi,1396.5315080487007,2,1,1,0,1,1,0,1,72463.9750703153
Baramulla,3897.5176872437823,4,2,1,1,1,1,1,1,219304.46719267545
Hazaribagh,1592.8492255709828,4,2,0,1,0,1,0,1,85889.16004143369
Baramulla,2135.347809203497,3,2,0,0,0,0,1,1,92645.1142536567
Alappuzha,1105.9517658582145,4,2,0,1,1,0,1,0,85157.59875026767
Thrissur,2598.8082558727656,1,1,0,1,1,0,1,0,103453.99251417174
Vijayanagaram,1410.4595758575074,3,2,0,0,1,1,1,1,86720.78029217766
Sundargarh,1145.1732823783364,3,1,1,0,0,0,0,1,76725.38222606837
Madhurawada,2259.6614624055246,3,2,1,0,1,0,1,0,118838.53614136398
Morena,419.82087697751496,2,3,1,0,0,0,1,1,35294.03505096861
Kottayam,427.59051753721116,2,1,0,0,0,0,1,0,39680.25482637063
Kasganj,1188.647712766688,4,3,0,0,1,1,0,0,85335.58027281474
Yavatmal,532.1969050029561,3,2,1,1,1,0,0,0,69065.3866459139
Faridabad,788.8927148704889,3,2,1,0,0,0,1,1,38908.417754554626
Kota,1619.8983376195058,1,2,0,1,0,0,0,1,55117.55136778528
Paschim Medinipur,3289.3084464873264,4,1,1,1,1,0,0,1,161592.2395953107
Coimbatore,2459.375116129483,1,3,1,0,1,1,1,1,66858.29120936866
Ulhasnagar,2245.603813443099,4,1,0,1,1,1,1,1,199253.56129788727
Agartala,1456.559763549238,4,1,1,0,0,0,1,0,82543.34792011452
Meerut,3754.313389958139,2,2,1,1,0,1,1,1,74599.8576167787
Chintalagraharam,1829.25414845389,2,3,1,0,1,1,1,0,55012.605842947676
Unnao,713.5339604647774,1,2,0,0,0,1,0,0,25486.232678194207
Chandigarh,2621.4394580240846,4,1,1,0,0,1,1,0,227805.8716367957
Jhalawar,809.818216515765,3,2,1,0,1,0,1,1,63389.89822782772
MVP Colony,1642.8033140860914,2,3,1,1,0,1,1,1,133326.3761126903
Chikmagalur,2226.682979384112,3,2,0,1,1,1,1,1,134415.4077865515
Bareilly,3547.2010888666327,1,3,0,1,1,0,1,1,69990.4269135339
Nalgonda,2176.767689224427,2,3,1,1,0,0,0,1,91650.81467589375
Kottayam,2928.1315577139912,2,2,0,1,0,0,1,1,101454.60198287322
Visakhapatnam,3974.1406203966535,4,1,1,0,1,0,0,1,227837.43025252002
Sikar,873.3608316327338,1,2,0,0,0,1,1,1,65362.600760894005
Mancherial,1389.0334918702702,4,1,0,0,1,0,1,0,92854.71582363597
Diu,1820.473872151527,2,1,1,0,0,1,1,1,124550.66014956783
Gwalior,1918.581442739793,1,2,1,0,0,1,0,0,91552.90175587145
Champawat,1879.6758709559647,2,1,1,1,0,0,1,0,60785.693588321876
Kannur,3667.3996092035977,1,1,0,0,1,0,1,0,79366.47475822037
Mahabubnagar,2970.517520080683,2,2,1,0,0,1,1,0,172361.12177017238
Patan,2588.4587707265337,3,2,0,1,1,1,1,1,176612.7704671176
Vapi,1513.7417843060155,3,2,0,1,1,0,1,1,65492.18389373683
Solan,3365.645383196661,4,1,1,0,1,0,1,0,221294.39642037454
Veraval,3838.21784134596,3,3,0,0,0,0,1,0,241172.11908530042
Champawat,3356.3138171808155,2,1,1,1,1,1,0,0,159929.13623805082
Siddipet,405.6343786893025,2,3,0,0,1,1,1,1,44729.34900470303
Kolkata,2691.044932660265,3,2,1,0,0,0,1,0,145192.97743404005
Jalandhar,584.0873731915626,4,3,0,0,1,1,1,0,59970.89163277335
Simhachalam,1327.3859932013988,3,2,0,1,1,0,0,1,94896.34107024361
Tirunelveli,614.2889212519781,1,2,1,0,0,1,0,0,52138.71780968584
NAD Junction,2573.6636306177957,1,3,0,0,1,1,1,1,98330.6657039504
Sangareddy,2871.7236885733846,1,2,1,1,0,0,0,1,129880.1836942398
Bhubaneswar,812.1554970372584,3,3,0,1,1,0,1,0,43225.16354431868
Rajam,1781.8199789619262,3,2,0,1,1,0,1,0,67713.13191592999
Tonk,2042.4514322399514,3,1,0,0,0,1,0,0,120784.27870765758
Gopalapatnam,1728.5908783392997,1,1,1,1,1,1,1,1,118100.0765376029
Asansol,835.690001746695,4,2,1,0,1,0,0,1,68435.34929344126
Latur,1908.2120446749116,2,2,1,1,1,1,0,1,88931.248168338
Ichchapuram,3104.2409721103054,3,3,1,0,0,0,0,0,106436.96919404727
Pondicherry,655.6275923197197,4,1,1,1,0,1,1,0,66341.62394275771
Wardha,688.6480506948524,2,3,0,0,0,0,1,0,35240.59436870966
Jhalawar,1677.1766506095432,2,2,0,0,0,1,1,0,62112.82185084853
Sehore,3790.21256182813,2,2,1,1,0,1,1,0,228692.52100265626
Daman,2806.8615282024907,4,3,0,1,1,1,1,0,104325.75509607438
Beach Road,2843.2118440212334,4,2,0,0,0,1,1,1,181377.1322875591
Salur,1702.9119670163138,1,1,0,1,0,0,1,1,85262.81325946143
Noida,2537.1788483507385,4,3,0,0,0,1,0,1,148472.88458148012
Bhatinda,436.47226249987614,4,1,1,1,1,0,1,0,55471.25489268956
Bobbili,2689.945767074352,4,1,0,1,1,0,1,1,141794.0040846963
Daman,3687.8330112744525,2,1,1,0,0,0,1,1,238917.1856937363
Bhavnagar,2605.264486041349,3,3,1,1,1,0,0,1,108889.22838197988
Erode,3545.3149364788424,1,2,0,1,1,1,0,0,131230.10847592936
Bhiwandi,3006.302999677938,3,1,1,0,1,0,0,0,150055.12049048897
Aurangabad,834.0102990532848,3,1,0,0,1,1,1,1,63957.01661638131
Sangareddy,3648.83190622903,4,1,0,1,0,1,0,0,163641.3641169132
Sambalpur,639.1978396807896,1,2,0,0,0,1,0,0,24142.143401391986
Chintalagraharam,2322.2829011719496,3,2,1,1,1,1,1,0,68952.7643375717
Gorakhpur,911.6936456564476,3,3,1,1,1,0,1,0,46918.27705679446
Mangalore,442.14379863125464,1,2,1,0,1,1,1,1,32434.367477218388
Mandya,1919.3233364595005,4,3,0,0,1,0,0,0,70767.15228774743
Srikakulam,1462.1465475549626,3,3,0,0,0,1,1,1,67035.97014981604
Tirupati,2149.6017776713707,2,3,0,0,1,1,1,1,145859.26475638244
Vapi,2477.919592244383,3,3,1,0,0,0,1,0,93191.75069990144
Ujjain,557.4606603122105,2,3,0,0,1,1,1,0,58841.58794459618
Thane,842.8118624454843,4,1,0,1,0,1,1,0,103797.01814721398
Agartala,2411.1126272215315,3,2,1,1,1,1,1,1,104676.22829627672
Madurai,1635.4024714215695,1,1,1,0,0,1,0,1,81751.27788940741
Baramulla,3025.0245551780126,1,3,1,1,0,1,1,1,186176.5222091321
Theni,2748.249934930983,3,2,0,1,0,0,0,1,147151.39839779848
Vepagunta,3444.1757067636645,4,1,0,1,1,1,0,1,118509.9920991418
Tekkali,2892.974176009211,4,1,0,1,0,1,1,1,129338.34241570908
Jaipur,1947.7518786045332,1,3,1,0,1,0,0,1,179677.85524543637
Aligarh,2822.6798406199564,3,1,1,1,0,1,0,0,165857.14653337948
Saharanpur,1391.3722273195067,4,1,1,1,0,0,0,1,65493.571867443636
Jhansi,1502.7285956015655,1,1,1,0,1,1,1,1,84096.51103378701
Bhimavaram,3240.346575714856,2,1,0,0,0,1,0,1,183143.65193980077
Pendurthi,2007.1102590456958,3,1,0,0,1,0,0,1,103308.37211189255
Jhunjhunu,3274.169225866069,2,3,0,0,1,1,0,0,220825.89353690442
Korba,3360.7205452058024,2,3,0,1,1,1,0,1,176864.1181008115
Chintalagraharam,3487.2244155806216,4,1,0,0,1,0,1,1,171469.02393003867
Sagar Nagar,3699.886849028346,4,3,0,1,0,0,1,0,226320.8436367293
Meerut,1951.5467938478664,4,3,0,1,0,1,0,0,82229.75165146611
Raisen,1547.9205459560999,3,2,0,0,1,0,1,1,60200.763476782624
Dantewada,2495.91548773881,2,1,1,0,0,1,1,1,205410.38716661054
Gopalapatnam,1736.2207243754592,3,3,1,0,0,0,0,1,122746.83876573158
Jalna,2563.8670004808387,4,3,0,0,1,1,1,1,105281.54317989992
Gajuwaka,2940.1091055177685,2,1,1,0,0,0,1,1,150615.17237267757
Tinsukia,2878.258066571693,3,2,0,0,1,0,0,1,100719.73820505975
Morena,1748.3903932724368,3,1,0,1,0,0,0,0,114782.67737351442
Prayagraj,1000.6967261155102,1,2,1,1,0,0,1,0,47330.15848983191
Solapur,1949.9056184639471,3,1,0,1,1,0,1,1,70620.27771793358
Darbhanga,913.3389186948715,4,1,0,1,0,0,1,1,76358.53978343419
Patan,3604.34932666171,3,1,0,0,0,0,1,1,132385.61196862254
Madhurawada,1645.1588586562866,2,1,0,0,1,0,0,0,109637.91133011684
Karauli,956.0550900039656,3,2,0,1,0,0,0,1,62965.326546226555
Kothuru,491.6119356607031,1,2,0,1,1,1,0,0,25450.03345568809
Bhavnagar,2724.960590631343,2,3,0,1,0,0,0,0,76751.14204508693
Rajam,2692.8483428370755,2,1,1,0,1,1,0,1,82320.22195947889
Tuni,1626.17499969265,1,2,1,0,1,0,1,0,70816.99591787615
Narasaraopet,658.1627998515437,4,2,0,0,1,1,1,1,55251.08140270444
Hyderabad,1874.6640216228352,2,2,1,1,1,1,0,0,79005.7105080293
Bheemunipatnam,1520.3829822282169,4,1,0,1,1,0,0,1,66011.41601032275
Firozabad,2837.634303046034,2,3,0,0,0,0,0,1,57728.37313588491
Madurai,2580.805298029685,2,2,0,0,0,1,1,0,128427.16894624694
Tiruchirappalli,1712.537421511144,4,1,0,1,1,1,1,0,141102.12004570366
Sambalpur,1184.4131953179644,2,2,1,1,0,0,1,0,46348.933920722455
Amudalavalasa,3956.9294781601307,4,2,1,0,1,0,0,1,168804.0731759849
Sonipat,2034.4058363060135,1,3,1,1,0,0,0,0,75152.36629388384
Kohima,2877.7872488088533,4,2,1,0,0,1,0,0,247145.8114843141
HB Colony,905.9906832820989,1,2,0,0,1,0,0,1,61523.08142656837
Rajkot,2148.1229187738318,2,1,1,1,1,0,0,1,158948.58675814245
Jaipur,499.1321915300758,4,1,0,1,0,0,1,0,76792.64990736145
Seethammadhara,2219.63842447762,2,3,0,1,0,0,0,0,143031.86768096915
Mangalore,3870.4626656237283,4,1,1,0,1,0,1,0,201879.0792396156
Theni,1783.1441667488807,1,1,0,1,0,1,1,1,111720.23351243931
Port Blair,540.3856452696817,1,3,1,1,0,1,1,1,39584.929696416235
Rajgarh,511.4408473096367,4,2,1,0,1,0,1,0,51496.769776821166
Karnal,1796.75233580873,1,3,1,0,0,0,1,1,76800.24235054685
Siddipet,976.0897712674986,2,1,1,1,1,1,0,0,79072.33461146071
Jalgaon,484.0675467814693,2,3,1,0,1,0,0,0,29090.090473259672
Tuni,3122.3690102206365,3,2,0,0,1,1,0,1,96510.15247305034
Baripada,2050.6828319748065,1,3,1,0,0,0,1,0,74274.64000316519
Kavali,1441.2811791015563,2,1,1,1,0,1,1,0,71651.67532127426
Aligarh,3640.2994588593306,4,1,0,1,1,1,1,1,204404.8121024164
Bareilly,818.1002567218923,1,3,1,0,1,0,1,0,33178.81097969929
Kohima,3841.307784239149,2,2,1,0,0,1,1,0,276224.285098225
Vizianagaram,1530.2801825584702,1,3,0,0,0,0,1,1,78678.38128163427
Rampur,3598.2532203112523,4,2,0,1,0,1,0,0,198166.9180713703
Rampur,2570.5943553260618,2,2,1,0,1,0,1,0,126365.42960307201
Chhapra,3376.146495069355,3,3,0,0,1,0,1,1,84745.37974351531
Vellore,3942.4473875576714,3,2,1,1,0,0,0,1,329844.8681383539
Hazaribagh,1438.2595761474845,1,1,0,0,0,1,1,1,43664.08689273493
Nashik,3860.087747467335,4,3,1,1,0,0,0,0,120677.22920764382
Nalgonda,1802.1348216487133,2,2,1,1,1,0,0,1,118167.09976022279
Madurai,1787.8428570529204,4,1,1,1,1,0,0,0,69719.19865804684
Suryabagh,1625.3935753162204,2,3,0,0,0,1,1,1,77880.66286391823
Asansol,2349.0673864513064,1,1,1,0,0,0,0,0,81157.27296358519
Vasai-Virar,954.9221554425535,2,1,0,1,1,1,0,0,53806.882873810435
Sambhal,2393.36134728884,4,1,1,0,1,1,1,1,104882.0709216796
Ghaziabad,2350.1373246760145,4,2,1,1,0,1,0,0,119705.04830065712
Agartala,3142.846525377532,1,3,1,0,0,0,1,0,129380.98077147397
Sambalpur,3401.139862975308,4,3,1,1,0,0,1,1,224330.00291332233
Paschim Medinipur,1985.5888611247265,2,2,1,1,1,1,0,0,112844.18377071538
Chandigarh,1488.3996976653775,1,3,0,0,0,0,1,0,141000.54895491246
Kolkata,1333.60563034154,2,1,0,0,1,0,1,0,59540.92515491608
Jaipur,1100.645812137539,4,3,0,0,1,1,0,1,84250.8531604576
Thane,607.5312959164896,1,2,1,0,0,1,0,1,38405.112556767184
Buxar,1632.812723804968,2,1,1,1,0,0,0,1,95530.00450923854
Salem,1372.8916916708197,4,2,0,1,1,1,0,1,73974.42105548008
Salur,3879.1025891190666,4,1,1,0,0,0,1,1,172445.37064735667
Tuni,2407.751774500158,3,1,1,0,1,1,0,1,120099.59975376526
Kota,1650.1973405098272,4,3,1,1,0,0,0,1,133329.09945328603
Nadiad,2489.6833635773055,2,1,0,0,0,0,0,1,122605.61888404796
Wayanad,901.1081248445039,1,2,0,0,0,1,1,0,83056.16420202331
Sehore,1998.5574971279304,3,3,0,0,0,0,1,0,87422.91919288928
Mumbai,2654.4435571158297,4,2,0,0,1,0,1,0,236294.27082740687
Gaya,2160.032194452825,4,1,0,1,1,1,1,0,155323.79445146874
Kozhikode,1846.4036823555673,4,2,1,1,1,0,1,1,85935.49830116349
Nashik,3977.8542000389134,2,2,1,0,0,0,0,0,128016.15507336927
Gurgaon,3569.1331437361373,3,1,1,1,1,0,1,0,221995.93063360872
Gajapathinagaram,2644.2614493739843,2,3,1,0,1,1,1,0,104998.36940970946
Kurmannapalem,2449.7585002562178,3,2,0,0,1,1,1,0,108454.16050374958
